#    X	    Y	        Z	    Amplitude
 -18.000	-1393.000	3397.000	106
 -29.000	-1399.000	3411.000	96
 -41.000	-1403.000	3420.000	108
 -52.000	-1402.000	3418.000	108
 -63.000	-1398.000	3409.000	131
 -73.000	-1395.000	3401.000	99
 -84.000	-1390.000	3389.000	115
 -95.000	-1380.000	3366.000	110
-105.000	-1374.000	3350.000	123
-116.000	-1378.000	3359.000	121
-127.000	-1377.000	3359.000	121
-138.000	-1383.000	3372.000	125
-149.000	-1379.000	3362.000	134
-159.000	-1375.000	3352.000	136
-171.000	-1378.000	3361.000	101
-182.000	-1384.000	3375.000	127
-193.000	-1383.000	3373.000	125
-204.000	-1382.000	3371.000	112
-216.000	-1386.000	3380.000	121
-227.000	-1390.000	3390.000	117
-238.000	-1390.000	3389.000	117
-250.000	-1392.000	3394.000	111
-261.000	-1396.000	3404.000	123
-274.000	-1403.000	3421.000	103
-285.000	-1404.000	3424.000	135
-296.000	-1401.000	3416.000	112
-305.000	-1396.000	3403.000	122
-315.000	-1388.000	3386.000	126
-326.000	-1387.000	3382.000	123
-336.000	-1386.000	3381.000	123
-349.000	-1393.000	3397.000	105
-361.000	-1395.000	3402.000	131
-370.000	-1390.000	3389.000	129
-379.000	-1381.000	3368.000	134
-385.000	-1364.000	3326.000	174
-391.000	-1346.000	3283.000	294
-402.000	-1348.000	3286.000	201
-412.000	-1347.000	3285.000	201
-425.000	-1355.000	3303.000	99
-431.000	-1339.000	3265.000	118
-432.000	-1309.000	3192.000	226
-437.000	-1295.000	3159.000	228
-449.000	-1300.000	3171.000	219
-462.000	-1307.000	3188.000	243
-472.000	-1307.000	3186.000	243
-484.000	-1310.000	3195.000	295
-503.000	-1333.000	3251.000	347
-523.000	-1358.000	3312.000	178
-540.000	-1374.000	3350.000	103
-549.000	-1370.000	3341.000	116
-556.000	-1359.000	3315.000	181
-566.000	-1359.000	3313.000	181
-577.000	-1359.000	3314.000	230
-593.000	-1371.000	3344.000	171
-609.000	-1382.000	3370.000	145
-620.000	-1383.000	3374.000	150
-630.000	-1380.000	3365.000	159
-640.000	-1379.000	3363.000	159
-648.000	-1373.000	3347.000	161
-657.000	-1369.000	3337.000	175
-660.000	-1352.000	3297.000	176
-665.000	-1341.000	3269.000	180
-674.000	-1337.000	3261.000	164
-684.000	-1336.000	3259.000	164
-694.000	-1335.000	3256.000	130
-707.000	-1340.000	3267.000	111
-725.000	-1355.000	3303.000	98
-743.000	-1367.000	3334.000	81
-753.000	-1366.000	3332.000	81
-761.000	-1361.000	3318.000	101
-762.000	-1344.000	3278.000	85
-765.000	-1330.000	3244.000	90
-773.000	-1327.000	3235.000	89
-783.000	-1326.000	3233.000	89
-792.000	-1322.000	3225.000	79
-795.000	-1311.000	3196.000	85
-797.000	-1297.000	3162.000	86
-799.000	-1283.000	3130.000	77
